Algo,Overall,B6+,B11+,B16+,B21+
Physiochemical,0.688024409,0.455684008,0.332740213,0.25974026,0.166666667
OHE,0.692982456,0.461464354,0.352313167,0.292207792,0.145833333
RaptorX,0.625858124,0.352601156,0.295373665,0.227272727,0.104166667
Physiochemical+OHE,0.696033562,0.479768786,0.368327402,0.311688311,0.229166666
Physiochemical+RaptorX,0.703279939,0.471098266,0.379003559,0.298701299,0.166666667
OHE+RaptorX,0.692601068,0.447976879,0.362989324,0.311688311,0.208333333
Physiochemical+OHE+RaptorX,0.702135774,0.46628131,0.348754448,0.292207792,0.229166666
